planner,seed,faults_fired,term,sci,energy,termination,science_return,energy_spent,success
adaptive_risk_aware_astar,400004,0,energy_exhausted,0.0,440.1651928378909,energy_exhausted,0.0,440.1651928378909,False
adaptive_risk_aware_astar,400005,0,energy_exhausted,1.7572859911266732,407.85396780352147,energy_exhausted,1.7572859911266732,407.8539678035214,False
adaptive_risk_aware_astar,400006,0,success,2.660266403645624,307.4373618416251,success,2.660266403645624,307.4373618416251,True
adaptive_risk_aware_astar,400007,0,energy_exhausted,0.0,359.3126118695271,energy_exhausted,0.0,359.3126118695271,False
adaptive_risk_aware_astar,400008,0,timeout,0.0,1009.7003501961963,timeout,0.0,1009.7003501961964,False
adaptive_risk_aware_astar,400009,0,energy_exhausted,2.9643442354033516,408.64481193282785,energy_exhausted,2.9643442354033516,408.64481193282785,False
adaptive_risk_aware_astar,400010,0,energy_exhausted,1.8158144339910596,449.1948734646091,energy_exhausted,1.8158144339910596,449.1948734646091,False
adaptive_risk_aware_astar,400011,0,success,0.0,90.76067066980275,success,0.0,90.76067066980276,True
adaptive_risk_aware_astar,400012,0,immobilized,2.065511083809088,298.0720657170666,immobilized,2.065511083809088,298.0720657170666,False
adaptive_risk_aware_astar,400013,0,energy_exhausted,0.0,426.9804795585096,energy_exhausted,0.0,426.9804795585096,False
adaptive_risk_aware_astar,400014,0,energy_exhausted,2.4472873995289284,375.81509712811226,energy_exhausted,2.4472873995289284,375.81509712811226,False
adaptive_risk_aware_astar,400015,0,energy_exhausted,2.6878019553130885,426.1817278373717,energy_exhausted,2.6878019553130885,426.1817278373717,False
adaptive_risk_aware_astar,400016,0,success,0.0,335.89993510085077,success,0.0,335.89993510085077,True
adaptive_risk_aware_astar,400017,0,success,0.0,280.30284016093646,success,0.0,280.30284016093646,True
adaptive_risk_aware_astar,400018,0,success,1.494875937372436,348.2357573069035,success,1.494875937372436,348.2357573069035,True
adaptive_risk_aware_astar,400019,1,success,6.74384711050638,563.9501285670691,success,6.74384711050638,563.9501285670691,True
adaptive_risk_aware_astar,400020,0,success,0.0,219.0918688374557,success,0.0,219.0918688374557,True
adaptive_risk_aware_astar,400021,0,energy_exhausted,1.1838366797759214,472.86857747076914,energy_exhausted,1.1838366797759214,472.86857747076914,False
adaptive_risk_aware_astar,400022,0,energy_exhausted,2.2966220360547682,412.8849789358179,energy_exhausted,2.296622036054768,412.8849789358179,False
adaptive_risk_aware_astar,400023,0,success,0.0,334.6820199049478,success,0.0,334.6820199049478,True
adaptive_risk_aware_astar,400024,0,success,2.5541636147658195,300.0861532239905,success,2.5541636147658195,300.0861532239905,True
adaptive_risk_aware_astar,400025,0,success,1.187697045456624,276.8229299809878,success,1.187697045456624,276.8229299809878,True
adaptive_risk_aware_astar,400026,1,success,2.908728450954972,397.5056587528846,success,2.908728450954972,397.5056587528846,True
adaptive_risk_aware_astar,400027,0,energy_exhausted,0.0,357.2428267880647,energy_exhausted,0.0,357.2428267880647,False
adaptive_risk_aware_astar,400028,0,success,2.85670826955898,483.085839321603,success,2.85670826955898,483.085839321603,True
adaptive_risk_aware_astar,400029,0,energy_exhausted,1.9269961299693577,402.47910606238986,energy_exhausted,1.9269961299693577,402.47910606238986,False
adaptive_risk_aware_astar,400030,0,immobilized,0.0,262.04084803303897,immobilized,0.0,262.04084803303897,False
adaptive_risk_aware_astar,400031,0,immobilized,2.6760108965509426,367.64736433174403,immobilized,2.6760108965509426,367.647364331744,False
adaptive_risk_aware_astar,400032,0,success,0.0,175.03235967939125,success,0.0,175.03235967939125,True
adaptive_risk_aware_astar,400033,0,success,1.236935143682114,440.16106652564076,success,1.236935143682114,440.1610665256408,True
adaptive_risk_aware_astar,400034,0,success,0.0,205.83499602110174,success,0.0,205.83499602110177,True
adaptive_risk_aware_astar,400035,0,immobilized,0.0,429.42385221859166,immobilized,0.0,429.42385221859166,False
adaptive_risk_aware_astar,400036,1,energy_exhausted,2.708139130964118,641.3408873060251,energy_exhausted,2.708139130964118,641.3408873060251,False
adaptive_risk_aware_astar,400037,0,energy_exhausted,0.0,404.0855327568337,energy_exhausted,0.0,404.0855327568337,False
adaptive_risk_aware_astar,400038,2,energy_exhausted,2.3560180656126475,955.1797757178877,energy_exhausted,2.3560180656126475,955.1797757178877,False
adaptive_risk_aware_astar,400039,0,success,1.7648669781534534,389.0545109571046,success,1.7648669781534534,389.0545109571046,True
adaptive_risk_aware_astar,400040,1,energy_exhausted,2.643272406132337,476.83709004071477,energy_exhausted,2.643272406132337,476.8370900407148,False
adaptive_risk_aware_astar,400041,0,success,0.0,161.9518848863165,success,0.0,161.9518848863165,True
adaptive_risk_aware_astar,400042,0,immobilized,2.6825081225760576,354.3003497559172,immobilized,2.6825081225760576,354.3003497559172,False
adaptive_risk_aware_astar,400043,0,success,3.7546299169052224,536.4621602627075,success,3.7546299169052224,536.4621602627075,True
adaptive_risk_aware_astar,400044,0,success,0.0,217.34593937081505,success,0.0,217.34593937081505,True
adaptive_risk_aware_astar,400045,1,success,2.571866994183246,430.87573499701085,success,2.571866994183246,430.87573499701085,True
adaptive_risk_aware_astar,400046,0,immobilized,1.0759328114998117,344.19559942269643,immobilized,1.0759328114998117,344.19559942269643,False
adaptive_risk_aware_astar,400047,0,success,0.0,1019.3629088745328,success,0.0,1019.3629088745328,True
adaptive_risk_aware_astar,400048,1,success,0.0,334.75810017307396,success,0.0,334.75810017307396,True
adaptive_risk_aware_astar,400049,0,immobilized,2.4809861891598297,327.88870276636874,immobilized,2.4809861891598297,327.88870276636874,False
adaptive_risk_aware_astar,400050,0,energy_exhausted,0.0,450.1736869801666,energy_exhausted,0.0,450.1736869801666,False
adaptive_risk_aware_astar,400051,1,timeout,1.9844359736195682,836.7350036256734,timeout,1.984435973619568,836.7350036256734,False
adaptive_risk_aware_astar,400052,0,success,3.4686593707649154,599.516807143173,success,3.4686593707649154,599.516807143173,True
adaptive_risk_aware_astar,400053,0,immobilized,2.8428104718997353,361.08981745648975,immobilized,2.8428104718997353,361.08981745648975,False
astar,400004,0,energy_exhausted,0.0,368.35160222368717,energy_exhausted,0.0,368.3516022236872,False
astar,400005,0,success,0.0,273.17917286721496,success,0.0,273.17917286721496,True
astar,400006,0,success,2.660266403645624,368.5555342557694,success,2.660266403645624,368.5555342557694,True
astar,400007,0,energy_exhausted,0.0,381.61383697728513,energy_exhausted,0.0,381.61383697728513,False
astar,400008,0,energy_exhausted,0.0,418.00563013468434,energy_exhausted,0.0,418.00563013468434,False
astar,400009,0,success,0.0,194.28790922982836,success,0.0,194.28790922982836,True
astar,400010,0,success,1.8158144339910596,332.97411726975696,success,1.8158144339910596,332.97411726975696,True
astar,400011,0,energy_exhausted,0.0,395.33983391461027,energy_exhausted,0.0,395.33983391461027,False
astar,400012,0,energy_exhausted,2.065511083809088,430.4999742595692,energy_exhausted,2.065511083809088,430.4999742595692,False
astar,400013,0,success,0.0,391.9312861167636,success,0.0,391.9312861167636,True
astar,400014,0,energy_exhausted,2.4472873995289284,419.8710710818507,energy_exhausted,2.4472873995289284,419.8710710818507,False
astar,400015,0,energy_exhausted,0.0,416.45476998943127,energy_exhausted,0.0,416.45476998943127,False
astar,400016,0,energy_exhausted,2.521448681106518,361.18155496872976,energy_exhausted,2.521448681106518,361.18155496872976,False
astar,400017,0,success,0.0,446.64003200942193,success,0.0,446.64003200942193,True
astar,400018,0,energy_exhausted,1.494875937372436,1014.5527404959199,energy_exhausted,1.494875937372436,1014.55274049592,False
astar,400019,0,success,2.4782920855920345,296.9374068633391,success,2.4782920855920345,296.9374068633391,True
astar,400020,0,immobilized,1.6689129305107204,292.91682267000795,immobilized,1.6689129305107204,292.91682267000795,False
astar,400021,0,energy_exhausted,0.0,332.94898529948375,energy_exhausted,0.0,332.94898529948375,False
