final_coverage,steps_taken,rovers_alive,n_rovers,energy_used,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.6051948051948052,250,4,4,395.8402000000011,0.0015288866699107455,frontier,0,48,250,6,0.0
0.7995769434161819,250,4,4,395.1124000000013,0.0020236695771030707,frontier,1,48,250,6,0.0
0.6620727673649394,250,4,4,395.8698000000012,0.001672450809243184,frontier,2,48,250,6,0.0
0.6302816901408451,250,4,4,394.51460000000117,0.0015976130924960528,frontier,3,48,250,6,0.0
0.8374164810690423,250,4,4,394.3490000000012,0.0021235415357184623,frontier,4,48,250,6,0.0
0.6272,250,4,4,394.9704000000013,0.0015879670982939429,frontier,5,48,250,6,0.0
0.8720355731225297,250,4,4,395.6506000000014,0.0022040547218240706,frontier,6,48,250,6,0.0
0.894962486602358,250,4,4,395.5266000000012,0.0022627112477450447,frontier,7,48,250,6,0.0
0.6051948051948052,250,3,4,449.2402000000012,0.0013471519360796374,frontier,0,48,250,6,0.25
0.7995769434161819,250,3,4,447.5124000000014,0.001786714610402258,frontier,1,48,250,6,0.25
0.6620727673649394,250,3,4,449.2698000000013,0.001473664081950172,frontier,2,48,250,6,0.25
0.5895372233400402,250,3,4,447.8436000000013,0.001316390863551558,frontier,3,48,250,6,0.25
0.8374164810690423,250,3,4,450.8260000000013,0.001857515939783952,frontier,4,48,250,6,0.25
0.6272,250,3,4,447.3704000000014,0.0014019702689315118,frontier,5,48,250,6,0.25
0.8720355731225297,250,3,4,454.0506000000015,0.0019205691460875214,frontier,6,48,250,6,0.25
0.7213290460878885,250,3,4,449.02720000000136,0.001606426172151456,frontier,7,48,250,6,0.25
0.6057142857142858,250,4,4,394.2306000000012,0.0015364466525791857,frontier,0,48,250,16,0.0
0.6927551560021152,250,4,4,395.57980000000134,0.0017512399672635279,frontier,1,48,250,16,0.0
0.6697905181918412,250,4,4,395.8698000000012,0.0016919464889512642,frontier,2,48,250,16,0.0
0.5759557344064387,250,4,4,394.85780000000113,0.001458640894029286,frontier,3,48,250,16,0.0
0.6893095768374164,250,4,4,394.45560000000125,0.0017474959839267443,frontier,4,48,250,16,0.0
0.6288,250,4,4,394.840200000001,0.0015925430085386401,frontier,5,48,250,16,0.0
0.8814229249011858,250,4,4,394.46120000000144,0.0022344984117606053,frontier,6,48,250,16,0.0
0.6966773847802786,250,4,4,395.01180000000113,0.0017636875272593797,frontier,7,48,250,16,0.0
0.6057142857142858,250,3,4,447.63060000000127,0.001353156566406059,frontier,0,48,250,16,0.25
0.6927551560021152,250,3,4,447.97980000000143,0.0015463981992092344,frontier,1,48,250,16,0.25
0.6697905181918412,250,3,4,449.2698000000013,0.0014908425142127054,frontier,2,48,250,16,0.25
0.5759557344064387,250,3,4,448.2578000000012,0.001284876101222192,frontier,3,48,250,16,0.25
0.6893095768374164,250,3,4,446.85560000000135,0.0015425779084729258,frontier,4,48,250,16,0.25
0.6288,250,3,4,451.2402000000011,0.0013934928669919002,frontier,5,48,250,16,0.25
0.7732213438735178,250,3,4,449.3938000000015,0.0017205874755582193,frontier,6,48,250,16,0.25
0.6730975348338692,250,3,4,448.75500000000125,0.0014999220840633918,frontier,7,48,250,16,0.25
0.6057142857142858,250,4,4,394.2306000000012,0.0015364466525791857,frontier,0,48,250,40,0.0
0.4997355896351137,250,4,4,394.9704000000013,0.0012652482050176724,frontier,1,48,250,40,0.0
0.6719955898566703,250,4,4,395.42600000000107,0.001699421863652538,frontier,2,48,250,40,0.0
0.6287726358148893,250,4,4,394.1654000000012,0.0015951999739573471,frontier,3,48,250,40,0.0
0.6893095768374164,250,4,4,394.45560000000125,0.0017474959839267443,frontier,4,48,250,40,0.0
