final_coverage,steps_taken,rovers_alive,n_rovers,energy_spent,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.6,250,4,4,994.5168106668152,0.000603308052276869,frontier,0,48,250,3,0.0
0.7995769434161819,250,4,4,995.1126983722082,0.0008035039093804339,frontier,1,48,250,3,0.0
0.756890848952591,250,4,4,995.1543289325509,0.0007605763517749729,frontier,2,48,250,3,0.0
0.7379275653923542,250,4,4,995.1025971044422,0.0007415592799572445,frontier,3,48,250,3,0.0
0.6,250,3,4,873.5168106668152,0.000686878595435363,frontier,0,48,250,3,0.25
0.7995769434161819,250,3,4,873.1126983722082,0.0009157774762718225,frontier,1,48,250,3,0.25
0.756890848952591,250,3,4,873.1543289325509,0.0008668465858468634,frontier,2,48,250,3,0.25
0.7379275653923542,250,3,4,874.1025971044422,0.0008442116152461023,frontier,3,48,250,3,0.25
0.6,250,2,4,752.5168106668152,0.0007973243806584625,frontier,0,48,250,3,0.5
0.5795875198307774,250,2,4,751.7279220613578,0.0007710070396766106,frontier,1,48,250,3,0.5
0.7122381477398015,250,2,4,752.8700576850888,0.0009460306469482642,frontier,2,48,250,3,0.5
0.7007042253521126,250,2,4,751.8599564173229,0.000931961091119985,frontier,3,48,250,3,0.5
0.6051948051948052,250,4,4,995.8406204335658,0.0006077225539678402,frontier,0,48,250,6,0.0
0.7995769434161819,250,4,4,995.1126983722082,0.0008035039093804339,frontier,1,48,250,6,0.0
0.6620727673649394,250,4,4,995.8700576850888,0.0006648184291271243,frontier,2,48,250,6,0.0
0.6302816901408451,250,4,4,994.5168106668153,0.0006337566981077439,frontier,3,48,250,6,0.0
0.6051948051948052,250,3,4,874.840620433566,0.0006917772118250227,frontier,0,48,250,6,0.25
0.7995769434161819,250,3,4,873.1126983722082,0.0009157774762718225,frontier,1,48,250,6,0.25
0.6620727673649394,250,3,4,874.8700576850888,0.0007567669753343573,frontier,2,48,250,6,0.25
0.5895372233400402,250,3,4,873.4457428549498,0.0006749557464360356,frontier,3,48,250,6,0.25
0.6051948051948052,250,2,4,752.8406204335658,0.0008038817098448667,frontier,0,48,250,6,0.5
0.5795875198307774,250,2,4,751.7279220613578,0.0007710070396766106,frontier,1,48,250,6,0.5
0.6466372657111357,250,2,4,754.0416305603426,0.0008575617572077649,frontier,2,48,250,6,0.5
0.5895372233400402,250,2,4,751.4457428549498,0.0007845373121687077,frontier,3,48,250,6,0.5
0.6057142857142858,250,4,4,994.2325394193534,0.0006092279840971931,frontier,0,48,250,12,0.0
0.6927551560021152,250,4,4,994.752308678998,0.0006964096991361335,frontier,1,48,250,12,0.0
0.6659316427783903,250,4,4,995.4558441227157,0.0006689715537963099,frontier,2,48,250,12,0.0
0.6302816901408451,250,4,4,994.1686142824252,0.0006339786642689099,frontier,3,48,250,12,0.0
0.6057142857142858,250,3,4,873.2325394193534,0.0006936460316939734,frontier,0,48,250,12,0.25
